"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","25/1814","68/9392",0.367647058823529,1.90349568713924,3.65827769307662,0.000563197849155556,0.0061088419737014,0.00439873899555616,"207/572/597/595/1147/1848/1978/2209/3265/3728/51176/5605/5595/2475/4790/5296/5292/11040/5371/5467/5914/5970/861/6655/83439",25
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","20/1814","50/9392",0.4,2.0710033076075,3.71495146295198,0.000566617226546217,0.0061088419737014,0.00439873899555616,"6347/1378/1379/3576/3039/3040/3043/3458/3553/3683/3820/22914/5175/6382/6401/7040/7043/7060/7097/7099",20
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","51/1814","173/9392",0.294797687861272,1.52631746658934,3.41842604076881,0.00076868977988981,0.00803630224430256,0.00578662800810192,"207/581/100529063/836/841/6347/1019/1147/3627/3576/3337/5611/356/3112/3113/3122/3123/3126/11100/64135/3455/3458/3459/3553/51135/3661/3665/3717/3836/3838/5605/5595/4790/4793/4928/4940/8106/5296/5371/5579/5644/29108/9230/5970/293/6772/7099/8743/8717/7187/7297",51
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","53/1814","182/9392",0.291208791208791,1.50773592449447,3.38408320642236,0.000839497360377324,0.00851842909794637,0.00613378876312843,"207/537/527/572/581/596/808/64170/843/836/841/64581/1378/1379/1520/2209/2212/2214/3112/3113/3122/3123/3126/3458/3459/3587/3553/3654/51135/3687/3717/3929/4046/10892/6300/1432/5595/5599/9902/4790/5533/5970/8767/56848/6772/6850/7040/7043/7096/7097/7099/10333/8717",53
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","24/1814","66/9392",0.363636363636364,1.88273027964318,3.52086641226863,0.000864337332957156,0.00851989656772054,0.00613484543091395,"2625/3112/3113/3122/3123/3126/3458/3459/8807/3553/50615/50616/3561/3725/4790/5970/6772/6775/30009/7040/7043/7097/7099/7100",24
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","69/1814","252/9392",0.273809523809524,1.41765107365989,3.28804714441055,0.00101402267222608,0.00971771727549996,0.00699734943407472,"23527/116983/10096/653857/116988/160/116984/377/10565/10564/50807/274/829/5119/27243/29082/92421/1212/3577/3579/7852/9266/26052/10938/30846/30845/29924/55040/28964/6011/157/2869/9146/3134/3265/3303/3304/3559/3560/3561/23096/93343/4734/84612/10015/8395/23396/5338/5371/5662/84249/9230/9727/26056/10193/6455/6456/56904/64744/6642/29934/27131/10254/7037/7048/51160/23325/9897/9765",69
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","25/1814","71/9392",0.352112676056338,1.82306629190801,3.40588513714003,0.00116710554334301,0.010882470606847,0.00783604290836272,"6868/537/527/8992/523/526/836/1147/2919/2920/2921/3576/3577/3579/28964/1839/3725/4067/6416/6300/1432/5599/4790/5781/5970",25
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","43/1814","143/9392",0.300699300699301,1.55687311585878,3.28302463934424,0.001246932176683,0.0113208316040957,0.0081516895760994,"207/814/1147/1435/1540/2209/2212/2214/2355/9846/3455/3458/3459/3553/3708/3709/3725/3726/3727/3937/353514/5609/6885/6300/1432/5595/5599/4773/4790/4791/5296/5533/5970/10326/55423/6772/6850/10454/7040/7048/169200/7186/7297",43
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","49/1814","169/9392",0.289940828402367,1.5011710365794,3.21655123650512,0.00143308838639949,0.0126773203412263,0.00912844424265264,"207/84335/55054/23130/55102/9474/10533/572/596/57448/203228/1514/1613/54541/9451/57724/11337/3091/3265/3708/84557/5605/6885/5595/5599/9110/2475/29982/5296/30849/5567/5588/116442/9821/6237/6794/55014/8417/55578/170067/10010/8887/58476/7249/8408/7405/8673/81671/55255",49
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","99/1814","391/9392",0.253196930946292,1.31092920366459,3.07256991304345,0.00174160195316379,0.0150213168460377,0.0108162647617541,"6868/11047/207/322/10297/83464/348/22926/23130/55102/513/8312/572/776/808/823/836/841/1147/1340/1346/1435/1452/1460/1536/1649/1855/1856/1857/9451/7855/8323/8324/8325/2906/3265/3416/3553/3708/3709/64837/89953/4041/5605/5609/4217/5595/5599/4311/4508/4509/4512/4513/4514/4519/4535/4536/4537/4538/4539/4540/4541/2475/126328/4696/56901/4716/4713/4720/374291/4723/4729/4790/29982/5296/30849/5331/5533/5684/5691/5702/5705/5710/9861/5743/9821/5970/293/27173/91252/23516/7922/64116/55334/7186/8408/10975/51384/7494",99
